Timestamp (ISO),CH0,CH1,CH2,CH3,CH4,CH5
2026-01-27 19:32:04.405-0800,3653,1729,1838,1970,1969,4095
2026-01-27 19:32:04.421-0800,3326,1728,1838,1967,1967,4095
2026-01-27 19:32:04.436-0800,2871,1728,1835,1967,1968,4095
2026-01-27 19:32:04.437-0800,3781,1727,1838,1969,1967,4095
2026-01-27 19:32:04.451-0800,2868,1728,1838,1968,1968,4094
2026-01-27 19:32:04.469-0800,3317,1728,1837,1968,1969,4095
2026-01-27 19:32:04.484-0800,3320,1728,1838,1968,1969,4095
2026-01-27 19:32:04.486-0800,2871,1728,1838,1969,1971,4090
2026-01-27 19:32:04.501-0800,3761,1728,1838,1969,1971,4095
2026-01-27 19:32:04.518-0800,3293,1729,1838,1968,1973,4095
2026-01-27 19:32:04.533-0800,2872,1729,1837,1968,1978,4095
2026-01-27 19:32:04.533-0800,3763,1729,1838,1968,1987,4095
2026-01-27 19:32:04.548-0800,2872,1728,1838,1969,2000,4095
2026-01-27 19:32:04.564-0800,3720,1727,1837,1968,2008,4095
2026-01-27 19:32:04.580-0800,3319,1728,1838,1968,2011,4095
2026-01-27 19:32:04.580-0800,2870,1729,1838,1969,2015,4095
2026-01-27 19:32:04.595-0800,3319,1729,1838,1968,2016,4095
2026-01-27 19:32:04.613-0800,3336,1729,1826,1967,2015,4095
2026-01-27 19:32:04.627-0800,2906,1729,1838,1969,2016,4095
2026-01-27 19:32:04.627-0800,3345,1728,1838,1969,2017,4095
2026-01-27 19:32:04.645-0800,2870,1728,1838,1968,2019,4095
2026-01-27 19:32:04.659-0800,3647,1730,1839,1962,2019,4095
2026-01-27 19:32:04.675-0800,3363,1729,1837,1967,2017,4095
2026-01-27 19:32:04.675-0800,2872,1729,1838,1967,2019,4095
2026-01-27 19:32:04.694-0800,3763,1729,1839,1967,2010,4095
2026-01-27 19:32:04.710-0800,2869,1730,1839,1967,2016,4095
2026-01-27 19:32:04.725-0800,3330,1730,1839,1968,2017,4095
2026-01-27 19:32:04.725-0800,3316,1729,1836,1968,2016,4095
2026-01-27 19:32:04.741-0800,2869,1735,1838,1968,2018,4095
2026-01-27 19:32:04.756-0800,3745,1732,1837,1968,2016,4095
2026-01-27 19:32:04.773-0800,3326,1734,1839,1968,2018,4095
2026-01-27 19:32:04.773-0800,2866,1735,1837,1968,2020,4095
2026-01-27 19:32:04.784-0800,3761,1736,1839,1969,2019,4095
2026-01-27 19:32:04.805-0800,2871,1735,1837,1967,2019,4095
2026-01-27 19:32:04.821-0800,3728,1737,1838,1968,2020,4095
2026-01-27 19:32:04.822-0800,3310,1736,1838,1967,2019,4095
2026-01-27 19:32:04.837-0800,2872,1737,1839,1967,2019,4095
2026-01-27 19:32:04.853-0800,3325,1737,1838,1968,2019,4095
2026-01-27 19:32:04.867-0800,3315,1736,1839,1967,2020,4095
2026-01-27 19:32:04.869-0800,2938,1736,1838,1969,2019,4095
2026-01-27 19:32:04.880-0800,3321,1736,1839,1969,2020,4095
2026-01-27 19:32:04.901-0800,2871,1737,1838,1968,2022,4095
2026-01-27 19:32:04.916-0800,3641,1736,1838,1968,2021,4095
2026-01-27 19:32:04.916-0800,3321,1737,1838,1967,2020,4095
2026-01-27 19:32:04.932-0800,2870,1737,1837,1968,2021,4095
2026-01-27 19:32:04.948-0800,3735,1737,1839,1969,2021,4095
2026-01-27 19:32:04.964-0800,2869,1737,1840,1968,2019,4095
2026-01-27 19:32:04.964-0800,3342,1737,1838,1968,2018,4093
2026-01-27 19:32:04.981-0800,3308,1737,1838,1969,2015,4095
2026-01-27 19:32:04.996-0800,2869,1737,1838,1968,2015,4095
2026-01-27 19:32:05.011-0800,3739,1738,1838,1967,2009,4095
2026-01-27 19:32:05.011-0800,3311,1737,1841,1968,1998,4095
2026-01-27 19:32:05.027-0800,2866,1737,1839,1967,1988,4095
2026-01-27 19:32:05.044-0800,3755,1736,1840,1969,1982,4095
2026-01-27 19:32:05.060-0800,2872,1735,1839,1989,1975,4095
2026-01-27 19:32:05.060-0800,3708,1734,1839,1968,1973,4095
2026-01-27 19:32:05.076-0800,3320,1732,1840,1967,1976,4095
2026-01-27 19:32:05.089-0800,2872,1731,1845,1967,1973,4095
2026-01-27 19:32:05.106-0800,3323,1730,1846,1968,1966,4095
2026-01-27 19:32:05.106-0800,3320,1730,1845,1968,1965,4095
2026-01-27 19:32:05.121-0800,2907,1729,1845,1970,1965,4095
2026-01-27 19:32:05.138-0800,3330,1729,1846,1969,1965,4095
2026-01-27 19:32:05.153-0800,2870,1729,1846,1968,1967,4095
2026-01-27 19:32:05.153-0800,3657,1729,1845,1968,1967,4095
2026-01-27 19:32:05.170-0800,3329,1729,1845,1968,1966,4095
2026-01-27 19:32:05.189-0800,2873,1728,1845,1969,1966,4095
2026-01-27 19:32:05.204-0800,3771,1729,1845,1968,1965,4095
2026-01-27 19:32:05.204-0800,2869,1729,1847,1967,1968,4095
