Timestamp (ISO),CH0,CH1,CH2,CH3,CH4,CH5
2026-01-27 19:31:00.466-0800,2870,1725,1912,1995,1802,4095
2026-01-27 19:31:00.485-0800,3775,1725,1912,1992,1808,4095
2026-01-27 19:31:00.502-0800,2870,1727,1913,1994,1801,4095
2026-01-27 19:31:00.502-0800,3336,1726,1912,1993,1802,4095
2026-01-27 19:31:00.518-0800,3321,1726,1912,1992,1801,4092
2026-01-27 19:31:00.533-0800,2871,1726,1913,1992,1800,4095
2026-01-27 19:31:00.550-0800,3769,1727,1911,1992,1800,4095
2026-01-27 19:31:00.550-0800,3327,1728,1911,1992,1800,4095
2026-01-27 19:31:00.566-0800,2872,1727,1912,1993,1800,4095
2026-01-27 19:31:00.582-0800,3771,1726,1913,1993,1801,4095
2026-01-27 19:31:00.597-0800,2872,1736,1912,1993,1797,4095
2026-01-27 19:31:00.597-0800,3753,1745,1914,1994,1800,4095
2026-01-27 19:31:00.613-0800,3328,1765,1913,1993,1801,4095
2026-01-27 19:31:00.628-0800,2871,1797,1913,1993,1800,4095
2026-01-27 19:31:00.644-0800,3321,1840,1913,1993,1800,4095
2026-01-27 19:31:00.644-0800,3326,1898,1913,1993,1800,4095
2026-01-27 19:31:00.662-0800,2908,1961,1914,1993,1799,4095
2026-01-27 19:31:00.675-0800,3330,2019,1915,1994,1800,4095
2026-01-27 19:31:00.694-0800,2872,2066,1915,1992,1800,4095
2026-01-27 19:31:00.694-0800,3633,2107,1915,1993,1800,4095
2026-01-27 19:31:00.706-0800,3329,2148,1914,1993,1800,4095
2026-01-27 19:31:00.723-0800,2871,2171,1916,1993,1800,4095
2026-01-27 19:31:00.738-0800,3733,2193,1916,1994,1801,4095
2026-01-27 19:31:00.738-0800,2870,2200,1917,1993,1800,4095
2026-01-27 19:31:00.758-0800,3354,2204,1915,1993,1800,4095
2026-01-27 19:31:00.769-0800,3325,2205,1916,1994,1800,4095
2026-01-27 19:31:00.790-0800,2872,2206,1915,1992,1801,4095
2026-01-27 19:31:00.790-0800,3747,2207,1916,1994,1801,4095
2026-01-27 19:31:00.806-0800,3323,2208,1917,1993,1801,4095
2026-01-27 19:31:00.821-0800,2870,2207,1917,1993,1801,4095
2026-01-27 19:31:00.836-0800,3771,2207,1919,1994,1801,4095
2026-01-27 19:31:00.836-0800,2870,2207,1918,1993,1802,4090
2026-01-27 19:31:00.852-0800,3748,2207,1920,1993,1802,4095
2026-01-27 19:31:00.868-0800,3328,2207,1919,1992,1802,4095
2026-01-27 19:31:00.885-0800,2871,2206,1921,1993,1802,4095
2026-01-27 19:31:00.885-0800,3328,2206,1922,1993,1803,4095
2026-01-27 19:31:00.898-0800,3330,2204,1921,1993,1802,4095
2026-01-27 19:31:00.914-0800,2912,2199,1921,1993,1803,4092
2026-01-27 19:31:00.932-0800,3328,2194,1921,1994,1805,4095
2026-01-27 19:31:00.934-0800,2873,2186,1922,1993,1809,4095
2026-01-27 19:31:00.946-0800,3664,2165,1921,1993,1813,4095
2026-01-27 19:31:00.962-0800,3328,2131,1921,1993,1812,4095
2026-01-27 19:31:00.978-0800,2871,2077,1921,1993,1812,4095
2026-01-27 19:31:00.978-0800,3781,2011,1921,1993,1814,4095
2026-01-27 19:31:00.996-0800,2868,1928,1921,1994,1814,4095
2026-01-27 19:31:01.014-0800,3344,1842,1920,1995,1816,4095
2026-01-27 19:31:01.029-0800,3332,1756,1920,1993,1815,4095
2026-01-27 19:31:01.029-0800,2870,1713,1922,1993,1820,4095
2026-01-27 19:31:01.041-0800,3771,1720,1912,1992,1818,4095
2026-01-27 19:31:01.062-0800,3319,1719,1913,1993,1820,4083
2026-01-27 19:31:01.078-0800,2869,1719,1913,1992,1820,4095
2026-01-27 19:31:01.078-0800,3747,1719,1913,1993,1821,4095
2026-01-27 19:31:01.093-0800,2872,1718,1912,1989,1821,4095
2026-01-27 19:31:01.109-0800,3732,1719,1913,1996,1821,4095
2026-01-27 19:31:01.124-0800,3328,1719,1913,1994,1821,4095
2026-01-27 19:31:01.126-0800,2871,1719,1913,1993,1822,4095
2026-01-27 19:31:01.142-0800,3333,1719,1913,1992,1822,4095
2026-01-27 19:31:01.155-0800,3324,1719,1914,1993,1821,4095
2026-01-27 19:31:01.170-0800,2910,1718,1914,1993,1819,4093
2026-01-27 19:31:01.170-0800,3333,1720,1915,1993,1820,4095
2026-01-27 19:31:01.190-0800,2872,1718,1914,1993,1820,4095
2026-01-27 19:31:01.203-0800,3657,1713,1915,1993,1819,4095
2026-01-27 19:31:01.222-0800,3324,1721,1914,1993,1819,4095
2026-01-27 19:31:01.222-0800,2869,1717,1915,1993,1819,4095
2026-01-27 19:31:01.234-0800,3765,1718,1915,1993,1819,4095
2026-01-27 19:31:01.254-0800,2868,1720,1915,1992,1818,4095
2026-01-27 19:31:01.265-0800,3380,1719,1913,1994,1820,4095
2026-01-27 19:31:01.265-0800,3320,1720,1915,1993,1817,4095
2026-01-27 19:31:01.286-0800,2870,1721,1915,1992,1819,4095
2026-01-27 19:31:01.297-0800,3759,1720,1914,1988,1816,4095
2026-01-27 19:31:01.313-0800,3307,1719,1915,1993,1819,4095
2026-01-27 19:31:01.319-0800,2870,1714,1911,1988,1814,4095
2026-01-27 19:31:01.331-0800,3770,1716,1913,1989,1814,4095
2026-01-27 19:31:01.350-0800,2869,1715,1910,1989,1815,4095
2026-01-27 19:31:01.365-0800,3704,1717,1911,1990,1815,4085
2026-01-27 19:31:01.365-0800,3306,1714,1911,1989,1815,4095
2026-01-27 19:31:01.381-0800,2869,1717,1909,1988,1819,4095
2026-01-27 19:31:01.396-0800,3309,1716,1911,1988,1814,4095
2026-01-27 19:31:01.413-0800,3305,1716,1912,1989,1814,4095
2026-01-27 19:31:01.414-0800,2899,1716,1912,1988,1814,4095
2026-01-27 19:31:01.429-0800,3300,1716,1911,1991,1813,4095
2026-01-27 19:31:01.442-0800,2870,1715,1911,1988,1821,4095
2026-01-27 19:31:01.458-0800,3701,1715,1912,1988,1825,4095
2026-01-27 19:31:01.458-0800,3308,1715,1912,1992,1839,4095
2026-01-27 19:31:01.474-0800,2867,1717,1912,1989,1857,4095
2026-01-27 19:31:01.492-0800,3733,1715,1913,1990,1886,4094
2026-01-27 19:31:01.508-0800,2870,1717,1912,1989,1925,4095
2026-01-27 19:31:01.508-0800,3295,1716,1911,1990,1965,4091
2026-01-27 19:31:01.525-0800,3304,1715,1913,1995,2004,4090
2026-01-27 19:31:01.541-0800,2869,1716,1911,1988,2033,4095
2026-01-27 19:31:01.557-0800,3729,1717,1911,1990,2064,4095
2026-01-27 19:31:01.557-0800,3315,1716,1912,1988,2091,4095
2026-01-27 19:31:01.572-0800,2869,1716,1911,1989,2120,4095
